job_id,year,country,region,city,company_name,company_size,industry,job_title,seniority_level,ai_mentioned,ai_intensity_score,core_skills,salary_usd,salary_change,automation_risk_score,reskilling_required,ai_job_displacement_risk,industry_ai_adoption_stage
1,2018,Brazil,South America,London,NextGen Technologies,Small,Education,Policy Analyst,Lead,True,0.81,"Research, Project Management, Business Analysis",61586,12.68,0.11,True,Low,Growing
2,2015,UAE,Middle East,Singapore,Future Solutions,Medium,Energy,Data Scientist,Executive,False,0.04,"Research, SQL, Business Analysis, Python, Cloud Computing, Data Analysis",62045,-3.98,0.71,False,High,Emerging
3,2016,Nepal,South Asia,Sydney,Future Analytics,Startup,Finance,Product Manager,Junior,False,0.15,"Statistics, Project Management, Cloud Computing, Communication, Business Analysis",27035,3.55,0.86,False,High,Emerging
4,2015,Spain,Europe,Nairobi,Global Technologies,Large,Government,Data Scientist,Mid,False,0.19,"Cloud Computing, SQL, Project Management, Communication, Statistics, Data Analysis",72894,-2.8,0.7,False,Low,Emerging
5,2014,Taiwan,East Asia,Sydney,Future Technologies,Small,Manufacturing,ML Engineer,Lead,False,0.11,"SQL, Python, Communication, Software Engineering, Statistics, Business Analysis",57215,0.85,0.87,False,High,Emerging
6,2022,Colombia,South America,London,Future Analytics,Enterprise,Government,ML Engineer,Senior,True,0.77,"Cloud Computing, Research, Data Analysis",67379,8.47,0.29,True,High,Growing
7,2016,Jordan,Middle East,Singapore,Prime Systems,Medium,Healthcare,Software Engineer,Mid,False,0.11,"Project Management, Python, Communication, Cloud Computing, Research",63931,0.3,0.6,False,Low,Emerging
8,2014,Peru,South America,Paris,NextGen Solutions,Large,Healthcare,Systems Engineer,Executive,False,0.03,"Software Engineering, Research, Communication, Python, SQL",39525,1.07,0.89,False,Low,Emerging
9,2017,India,South Asia,Bangalore,Prime Technologies,Startup,Education,Policy Analyst,Junior,True,0.44,"Project Management, Software Engineering, Business Analysis, SQL, Python, Statistics",29117,-1.7,0.25,True,High,Growing
10,2023,Sri Lanka,South Asia,Seoul,Global Technologies,Startup,Government,AI Researcher,Junior,False,0.2,"Data Analysis, Business Analysis, Communication, Software Engineering, Project Management, SQL",24450,-0.97,0.7,False,Low,Growing
11,2011,Australia,Oceania,Tokyo,Prime Systems,Startup,Agriculture,ML Engineer,Senior,False,0.19,"Business Analysis, Cloud Computing, Software Engineering",73953,-3.34,0.75,False,Medium,Emerging
